gene	sulem2015	saleheen2017	elgh	karcewski2019	deboever2018	any
ABCA5	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ABCA6	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ABCA7	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
ABCA8	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
ABCA9	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
ABCB1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB5	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ABCB6	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ABCB7	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ABCB8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC10	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ABCC11	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
ABCC12	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ABCC2	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
ABCC3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC6	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
ABCC8	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ABCC9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCD1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCD3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCD4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCE1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCF1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCF2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCF3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCG1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCG2	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
ABCG4	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ABCG5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCG8	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ABHD1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ABHD10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12B	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ABHD13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD14A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD14B	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ABHD15	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
ABHD16A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD16B	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ABHD17A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD17B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD17C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD18	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ABHD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD4	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ABHD5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABI1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABI2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABI3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABI3BP	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ABL1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABL2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ABLIM1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ABLIM2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABLIM3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABO	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABR	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABRA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABRACL	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABRAXAS1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABRAXAS2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABT1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABTB1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
ABTB2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAA1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAA2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACACA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACACB	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
ACAD10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAD11	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ACAD8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAD9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACADL	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ACADM	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACADS	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACADSB	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ACADVL	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAN	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAT1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACAT2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACBD3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACBD4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACBD5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACBD6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACBD7	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
ACCS	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACCSL	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ACD	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACE2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACER1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACER2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACER3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACHE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACIN1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACKR1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACKR2	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ACKR3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACKR4	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ACLY	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACMSD	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACO1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOD1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOT1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ACOT11	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ACOT12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOT13	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ACOT2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOT4	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ACOT6	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ACOT7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOT8	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
ACOT9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOX1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACOX2	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ACOX3	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ACOXL	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
ACP1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACP2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACP4	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACP5	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACP6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACP7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACPP	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ACR	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACRBP	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACRV1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSBG1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSBG2	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ACSF2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSF3	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
ACSL1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSL3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSL4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSL5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSL6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSM1	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ACSM2A	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
ACSM2B	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ACSM3	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
ACSM4	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
ACSM5	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACSM6	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACSS1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACSS2	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACSS3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTA1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTA2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTB	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTBL2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTC1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTG1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTG2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL6A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL6B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL7A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL7B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTL9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN3	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACTN4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR1A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR1B	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ACTR2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR3B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR3C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTRT1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTRT2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACTRT3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACVR1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACVR1B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACVR1C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACVR2A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACVR2B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACVRL1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACY1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACY3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACYP1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ACYP2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADA2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAD1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAL	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAM10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM17	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM18	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM19	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM2	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
ADAM20	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
ADAM21	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM22	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM23	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM28	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAM29	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM30	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM32	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ADAM33	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAM7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM8	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
ADAM9	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ADAMDEC1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS17	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
ADAMTS18	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS19	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS2	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAMTS20	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ADAMTS8	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ADAMTS9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTSL1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAMTSL2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTSL3	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ADAMTSL4	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
ADAMTSL5	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAP1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAP2	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ADAR	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADARB1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADARB2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAT1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADAT2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAT3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCK1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ADCK2	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
ADCK5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY10	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
ADCY2	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ADCY3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCYAP1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADCYAP1R1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADD1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADD3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGB	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRA1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRA2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRA3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRB1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRB2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRB3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRD1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRD2	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRE1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRE2	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRE3	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRE5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRF1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRF2	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRF3	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRF4	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRF5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRG7	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ADGRL1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRL2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRL3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRL4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRV1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH1A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH1B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH1C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADH7	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADHFE1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ADI1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADIG	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADIPOQ	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADIPOR1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADIPOR2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADIRF	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADK	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADM	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADM2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADM5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADNP	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADNP2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADO	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADORA1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADORA2A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADORA2B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADORA3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADPGK	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADPRH	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ADPRHL1	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
ADPRHL2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADPRM	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADRA1A	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ADRA1B	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADRA1D	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADRA2A	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADRA2B	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
ADRA2C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADRB1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADRB2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
