drug	category
procainamide	Membrane Transport Modulators
procainamide	para-Aminobenzoates
procainamide	QTc Prolonging Agents
procainamide	Sodium Channel Blockers
procainamide	Voltage-Gated Sodium Channel Blockers
levomefolic acid	Amino Acids
levomefolic acid	Amino Acids, Acidic
levomefolic acid	Amino Acids, Dicarboxylic
levomefolic acid	Amino Acids, Peptides, and Proteins
prussian blue	Acids
prussian blue	Acids, Noncarboxylic
prussian blue	Anions
prussian blue	Antidotes
prussian blue	Coloring Agents
prussian blue	Cyanides
prussian blue	Decorporation Agent
prussian blue	Electrolytes
prussian blue	Ferrous Compounds
prussian blue	Hydrogen Cyanide
prussian blue	Ions
prussian blue	Iron Compounds
prussian blue	Nitrogen Compounds
prussian blue	Organometallic Compounds
prussian blue	Protective Agents
prussian blue	Specialty Uses of Chemicals
acetyldigitoxin	Antiarrhythmic agents
acetyldigitoxin	Carbohydrates
acetyldigitoxin	Cardanolides
acetyldigitoxin	Cardenolides
acetyldigitoxin	Cardiac Glycosides
acetyldigitoxin	Cardiac Therapy
acetyldigitoxin	Cardiotonic Agents
acetyldigitoxin	Cardiovascular Agents
acetyldigitoxin	Cardiovascular System
acetyldigitoxin	Digitalis Glycosides
acetyldigitoxin	Digitoxin
acetyldigitoxin	Enzyme Inhibitors
acetyldigitoxin	Glycosides
acetyldigitoxin	Polycyclic Compounds
acetyldigitoxin	Protective Agents
acetyldigitoxin	Specialty Uses of Chemicals
acetyldigitoxin	Steroids
ivabradine	Bradycardia-Causing Agents
ivabradine	Cardiac Therapy
ivabradine	Cardiovascular Agents
ivabradine	Cardiovascular System
ivabradine	Cyclic Nucleotide-Gated Cation Channels, antagonists & inhibitors
ivabradine	Heterocyclic Compounds
ivabradine	Heterocyclic Compounds, 2-Ring
ivabradine	Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker
ivabradine	Miscellaneous Cardiac Drugs
idelalisib	Antineoplastic Agents
idelalisib	Antineoplastic and Immunomodulating Agents
idelalisib	BCRP/ABCG2 Substrates
idelalisib	Class Ia Phosphatidylinositol 3-Kinase, antagonists & inhibitors
idelalisib	Combined Inhibitors of CYP3A4 and P-glycoprotein
idelalisib	Combined Inhibitors of CYP3A4 and P-glycoprotein (Strong)
idelalisib	Cytochrome P-450 CYP3A Inhibitors
idelalisib	Cytochrome P-450 CYP3A Inhibitors (strong)
idelalisib	Cytochrome P-450 CYP3A4 Inhibitors
idelalisib	Cytochrome P-450 CYP3A4 Inhibitors (strong)
idelalisib	Cytochrome P-450 Enzyme Inducers
idelalisib	Cytochrome P-450 Enzyme Inhibitors
idelalisib	Enzyme Inhibitors
idelalisib	Heterocyclic Compounds
idelalisib	Heterocyclic Compounds, 2-Ring
idelalisib	Immunosuppressive Agents
idelalisib	Kinase Inhibitor
idelalisib	P-glycoprotein/ABCB1 Inhibitors
idelalisib	P-glycoprotein/ABCB1 Substrates
idelalisib	Quinazolines
acheta domesticus	Non-Standardized Insect Allergenic Extract
dalfampridine	Amines
dalfampridine	Aminopyridines
dalfampridine	Cardiovascular Agents
dalfampridine	Heterocyclic Compounds
dalfampridine	Heterocyclic Compounds, 1-Ring
dalfampridine	Membrane Transport Modulators
dalfampridine	Nervous System
dalfampridine	Other Miscellaneous Therapeutic Agents
dalfampridine	Potassium Channel Blockers
dalfampridine	Pyridines
pantoprazole	Acid Reducers
pantoprazole	Alimentary Tract and Metabolism
pantoprazole	Anti-Ulcer Agents
pantoprazole	BCRP/ABCG2 Inhibitors
pantoprazole	Benzimidazoles
pantoprazole	Cytochrome P-450 CYP2C19 Inhibitors
pantoprazole	Cytochrome P-450 CYP2C19 Inhibitors (weak)
pantoprazole	Cytochrome P-450 CYP2C19 Substrates
pantoprazole	Cytochrome P-450 CYP3A Inducers
pantoprazole	Cytochrome P-450 Enzyme Inducers
pantoprazole	Cytochrome P-450 Enzyme Inhibitors
pantoprazole	Drugs for Acid Related Disorders
pantoprazole	Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord)
pantoprazole	Enzyme Inhibitors
pantoprazole	Gastric Acid Lowering Agents
pantoprazole	Gastrointestinal Agents
pantoprazole	Heterocyclic Compounds
pantoprazole	Heterocyclic Compounds, 1-Ring
pantoprazole	Heterocyclic Compounds, 2-Ring
pantoprazole	P-glycoprotein/ABCB1 Inhibitors
pantoprazole	P-glycoprotein/ABCB1 Substrates
pantoprazole	Proton Pump Inhibitors
pantoprazole	Proton-pump Inhibitors
pantoprazole	Pyridines
pantoprazole	Sulfoxides
pantoprazole	Sulfur Compounds
etomidate	Adrenergic Agonists
etomidate	Adrenergic alpha-2 Receptor Agonists
etomidate	Adrenergic alpha-Agonists
etomidate	Anesthetics
etomidate	Anesthetics, General
etomidate	Anesthetics, Intravenous
etomidate	Azoles
etomidate	Central Nervous System Agents
etomidate	Central Nervous System Depressants
etomidate	Heterocyclic Compounds
etomidate	Heterocyclic Compounds, 1-Ring
etomidate	Hypnotics and Sedatives
etomidate	Imidazoles
etomidate	Nervous System
ertugliflozin	BCRP/ABCG2 Substrates
ertugliflozin	Bicyclo Compounds
ertugliflozin	Bridged Compounds
ertugliflozin	Heterocyclic Compounds
ertugliflozin	Heterocyclic Compounds, 2-Ring
ertugliflozin	Heterocyclic Compounds, Bridged-Ring
ertugliflozin	Hydrocarbons
ertugliflozin	Hydrocarbons, Cyclic
ertugliflozin	P-glycoprotein/ABCB1 Substrates
ertugliflozin	Polycyclic Compounds
ertugliflozin	UGT1A1 Inhibitors
pidolic acid	Acids, Acyclic
pidolic acid	Alimentary Tract and Metabolism
pidolic acid	Amino Acids
pidolic acid	Amino Acids, Acidic
pidolic acid	Amino Acids, Cyclic
pidolic acid	Amino Acids, Dicarboxylic
pidolic acid	Amino Acids, Peptides, and Proteins
pidolic acid	Carboxylic Acids
pidolic acid	Glutamates
pidolic acid	Heterocyclic Compounds
pidolic acid	Heterocyclic Compounds, 1-Ring
pidolic acid	Imines
pidolic acid	Imino Acids
pidolic acid	Magnesium
pidolic acid	Mineral Supplements
pidolic acid	Pyrrolidines
pidolic acid	Pyrrolidinones
uridine triacetate	Acids, Acyclic
uridine triacetate	Carbohydrates
uridine triacetate	Carboxylic Acids
uridine triacetate	Fatty Acids
uridine triacetate	Fatty Acids, Volatile
uridine triacetate	Glycosides
uridine triacetate	Heterocyclic Compounds
uridine triacetate	Heterocyclic Compounds, 1-Ring
uridine triacetate	Lipids
uridine triacetate	Nucleic Acids, Nucleotides, and Nucleosides
uridine triacetate	Nucleosides
uridine triacetate	Pyrimidine Analog
uridine triacetate	Pyrimidine Nucleosides
uridine triacetate	Pyrimidines
uridine triacetate	Ribonucleosides
apremilast	Acids, Carbocyclic
apremilast	Analgesics
apremilast	Analgesics, Non-Narcotic
apremilast	Anti-Inflammatory Agents
apremilast	Antineoplastic and Immunomodulating Agents
apremilast	Antirheumatic Agents
apremilast	Carboxylic Acids
apremilast	Central Nervous System Agents
apremilast	Disease-modifying Antirheumatic Agents
apremilast	Heterocyclic Compounds
apremilast	Heterocyclic Compounds, 1-Ring
apremilast	Heterocyclic Compounds, 2-Ring
apremilast	Imides
apremilast	Immunosuppressive Agents
apremilast	Isoindoles
apremilast	Peripheral Nervous System Agents
apremilast	Phosphodiesterase 4 Inhibitors
apremilast	Phosphodiesterase Inhibitors
apremilast	Phthalic Acids
apremilast	Phthalimides
apremilast	Piperidines
apremilast	Piperidones
apremilast	Selective Immunosuppressants
apremilast	Sensory System Agents
ketobemidone	Acids, Heterocyclic
ketobemidone	Alkenes
ketobemidone	Allyl Compounds
ketobemidone	Amines
ketobemidone	Analgesics
ketobemidone	Central Nervous System Agents
ketobemidone	Central Nervous System Depressants
ketobemidone	Excitatory Amino Acid Agents
ketobemidone	Excitatory Amino Acid Antagonists
ketobemidone	Heterocyclic Compounds
ketobemidone	Heterocyclic Compounds, 1-Ring
ketobemidone	Hydrocarbons
ketobemidone	Hydrocarbons, Acyclic
ketobemidone	Isonipecotic Acids
ketobemidone	Narcotics
ketobemidone	Nervous System
ketobemidone	Neurotransmitter Agents
ketobemidone	Opioids
ketobemidone	Peripheral Nervous System Agents
ketobemidone	Pharmaceutical Preparations
ketobemidone	Phenylpiperidine Derivatives
ketobemidone	Piperidines
ketobemidone	Sensory System Agents
barley	Non-Standardized Food Allergenic Extract
ichthammol	Amines
ichthammol	Ammonium Compounds
ichthammol	Nitrogen Compounds
ichthammol	Onium Compounds
pipotiazine	Antipsychotic Agents
pipotiazine	Central Nervous System Depressants
pipotiazine	Cytochrome P-450 Enzyme Inhibitors
pipotiazine	Dopamine Antagonists
pipotiazine	Dopamine D2 Receptor Antagonists
pipotiazine	Heterocyclic Compounds
pipotiazine	Heterocyclic Compounds, 3-Ring
pipotiazine	Hyperglycemia-Associated Agents
pipotiazine	Nervous System
pipotiazine	Phenothiazines
pipotiazine	Phenothiazines With Piperidine Structure
pipotiazine	Psycholeptics
pipotiazine	Serotonin 5-HT1 Receptor Antagonists
pipotiazine	Serotonin 5-HT2 Receptor Antagonists
pipotiazine	Serotonin Receptor Antagonists
pipotiazine	Sulfur Compounds
citalopram	Amines
citalopram	Antidepressive Agents
citalopram	Antidepressive Agents, Second-Generation
citalopram	Benzofurans
citalopram	Central Nervous System Agents
citalopram	Central Nervous System Depressants
citalopram	Combined Inhibitors of Serotonin/Norepinephrine Reuptake
citalopram	Cytochrome P-450 CYP2C19 Substrates
citalopram	Cytochrome P-450 CYP2D6 Inhibitors
citalopram	Cytochrome P-450 CYP2D6 Inhibitors (moderate)
citalopram	Cytochrome P-450 CYP2D6 Inhibitors (weak)
citalopram	Cytochrome P-450 Enzyme Inhibitors
citalopram	Heterocyclic Compounds
citalopram	Heterocyclic Compounds, 2-Ring
citalopram	Highest Risk QTc-Prolonging Agents
citalopram	Membrane Transport Modulators
citalopram	Nervous System
citalopram	Neurotransmitter Agents
citalopram	Neurotransmitter Uptake Inhibitors
citalopram	Nitriles
citalopram	P-glycoprotein/ABCB1 Inhibitors
citalopram	P-glycoprotein/ABCB1 Substrates
citalopram	Propylamines
citalopram	Psychoanaleptics
citalopram	Psychotropic Drugs
citalopram	QTc Prolonging Agents
citalopram	Selective Serotonin Reuptake Inhibitors
citalopram	Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome
citalopram	Serotonin 5-HT2 Receptor Antagonists
citalopram	Serotonin Agents
citalopram	Serotonin Modulators
citalopram	Serotonin Receptor Antagonists
citalopram	Vasodilating Agents
mipomersen	Anticholesteremic Agents
mipomersen	Antisense Elements (Genetics)
mipomersen	Apolipoprotein B-100 Synthesis Inhibitor
mipomersen	Carbohydrates
mipomersen	Cardiovascular System
mipomersen	Diagnostic Uses of Chemicals
mipomersen	DNA
mipomersen	DNA, Antisense
mipomersen	Glycosides
mipomersen	Hypolipidemic Agents
mipomersen	Laboratory Chemicals
mipomersen	Lipid Modifying Agents
mipomersen	Lipid Modifying Agents, Plain
mipomersen	Lipid Regulating Agents
mipomersen	Molecular Probes
mipomersen	Noxae
mipomersen	Nucleic Acid Probes
mipomersen	Nucleic Acids
mipomersen	Nucleic Acids, Nucleotides, and Nucleosides
mipomersen	Nucleotides
mipomersen	Oligodeoxyribonucleotides, Antisense
mipomersen	Oligonucleotides
mipomersen	Oligonucleotides, Antisense
mipomersen	Polynucleotides
mipomersen	Specialty Uses of Chemicals
mipomersen	Toxic Actions
methoxsalen	Alkenes
methoxsalen	Antipsoriatics
methoxsalen	Antipsoriatics for Systemic Use
methoxsalen	Antipsoriatics for Topical Use
methoxsalen	Benzopyrans
methoxsalen	Biological Factors
methoxsalen	Coloring Agents
methoxsalen	Coumarins
methoxsalen	Cross-Linking Reagents
methoxsalen	Cyclohexanes
methoxsalen	Cyclohexenes
methoxsalen	Cycloparaffins
methoxsalen	Cytochrome P-450 Enzyme Inhibitors
methoxsalen	Dermatologicals
methoxsalen	Furocoumarins
methoxsalen	Heterocyclic Compounds
methoxsalen	Heterocyclic Compounds, 1-Ring
methoxsalen	Heterocyclic Compounds, 2-Ring
methoxsalen	Heterocyclic Compounds, 3-Ring
methoxsalen	Hydrocarbons
methoxsalen	Hydrocarbons, Acyclic
methoxsalen	Hydrocarbons, Alicyclic
methoxsalen	Hydrocarbons, Cyclic
methoxsalen	Indicators and Reagents
methoxsalen	Laboratory Chemicals
methoxsalen	Macrocyclic Compounds
methoxsalen	Photoactivated Radical Generator
methoxsalen	Photosensitizing Agents
methoxsalen	Pigments, Biological
methoxsalen	Polycyclic Compounds
methoxsalen	Polyenes
methoxsalen	Psoralens for Systemic Use
methoxsalen	Psoralens for Topical Use
methoxsalen	Pyrans
methoxsalen	Radiation-Sensitizing Agents
methoxsalen	Specialty Uses of Chemicals
methoxsalen	Terpenes
glimepiride	Alimentary Tract and Metabolism
glimepiride	Antiarrhythmic agents
glimepiride	Blood Glucose Lowering Agents
glimepiride	Cardiovascular Agents
glimepiride	Drugs Used in Diabetes
glimepiride	Hypoglycemia-Associated Agents
glimepiride	Immunologic Factors
glimepiride	Immunosuppressive Agents
glimepiride	Oral Hypoglycemics
glimepiride	Sulfones
glimepiride	Sulfonylureas
glimepiride	Sulfur Compounds
glimepiride	Urea
lincomycin	Anti-Bacterial Agents
lincomycin	Anti-Infective Agents
lincomycin	Antibacterials for Systemic Use
lincomycin	Antiinfectives for Systemic Use
lincomycin	Antipsychotic Agents
lincomycin	Carbohydrates
lincomycin	Central Nervous System Depressants
lincomycin	Enzyme Inhibitors
lincomycin	Glycosides
lincomycin	Heterocyclic Compounds
lincomycin	Heterocyclic Compounds, 1-Ring
lincomycin	Lincosamides
lincomycin	Macrolides, Lincosamides and Streptogramins
lincomycin	Protein Synthesis Inhibitors
lincomycin	Pyrrolidines
casuarina equisetifolia pollen	Non-Standardized Pollen Allergenic Extract
vilanterol	Adrenergic Agonists
vilanterol	Adrenergic beta-2 Receptor Agonists
vilanterol	Adrenergic beta-Agonists
vilanterol	Adrenergics, Inhalants
vilanterol	Agents to Treat Airway Disease
vilanterol	Alcohols
vilanterol	Benzene Derivatives
vilanterol	Benzyl Compounds
vilanterol	Drugs for Obstructive Airway Diseases
vilanterol	Hydrocarbons
vilanterol	Hydrocarbons, Aromatic
vilanterol	Hydrocarbons, Chlorinated
vilanterol	Hydrocarbons, Cyclic
vilanterol	Hydrocarbons, Halogenated
vilanterol	Immunosuppressive Agents
vilanterol	Long-acting beta-adrenoceptor agonists
vilanterol	Potential QTc-Prolonging Agents
vilanterol	QTc Prolonging Agents
vilanterol	Respiratory System
antihemophilic factor, human recombinant	Amino Acids, Peptides, and Proteins
antihemophilic factor, human recombinant	Biological Factors
antihemophilic factor, human recombinant	Blood and Blood Forming Organs
antihemophilic factor, human recombinant	Blood Coagulation Factors
antihemophilic factor, human recombinant	Blood Proteins
antihemophilic factor, human recombinant	Carbohydrates
antihemophilic factor, human recombinant	Disaccharides
antihemophilic factor, human recombinant	Hemostatics
antihemophilic factor, human recombinant	Oligosaccharides
antihemophilic factor, human recombinant	Polysaccharides
antihemophilic factor, human recombinant	Proteins
cloperastine	Cough and Cold Preparations
cloperastine	Heterocyclic Compounds
cloperastine	Heterocyclic Compounds, 1-Ring
cloperastine	Respiratory System
cetrimonium	Amines
cetrimonium	Ammonium Compounds
cetrimonium	Anti-Infective Agents
cetrimonium	Anti-Infective Agents, Local
cetrimonium	Antiseptics and Disinfectants
cetrimonium	Dermatologicals
cetrimonium	Detergents
cetrimonium	Household Products
cetrimonium	Medicated Shampoos
cetrimonium	Miscellaneous Local Anti-infectives
cetrimonium	Nitrogen Compounds
cetrimonium	Onium Compounds
cetrimonium	Quaternary Ammonium Compounds
cetrimonium	Respiratory System
cetrimonium	Specialty Uses of Chemicals
cetrimonium	Surface-Active Agents
cetrimonium	Technology, Industry, and Agriculture
cetrimonium	Throat Preparations
cetrimonium	Trimethyl Ammonium Compounds
phenoxyethanol	Alcohols
phenoxyethanol	Anesthetics
phenoxyethanol	Anti-Infective Agents
phenoxyethanol	Anti-Infective Agents, Local
phenoxyethanol	Central Nervous System Agents
phenoxyethanol	Glycols
pinus taeda pollen	Non-Standardized Pollen Allergenic Extract
calcium gluconate	Acids, Acyclic
calcium gluconate	Alimentary Tract and Metabolism
calcium gluconate	Blood Coagulation Factors
calcium gluconate	Calcium Salts
calcium gluconate	Carbohydrates
calcium gluconate	Carboxylic Acids
calcium gluconate	Dermatologicals
calcium gluconate	Gluconates
calcium gluconate	Hydroxy Acids
calcium gluconate	Mineral Supplements
calcium gluconate	Minerals
calcium gluconate	Phosphate Binder
calcium gluconate	Replacement Preparations
calcium gluconate	Sugar Acids
nomegestrol acetate	Androgen Antagonists
nomegestrol acetate	Antiandrogens
nomegestrol acetate	Antineoplastic Agents, Hormonal
nomegestrol acetate	Combination Contraceptives (with Estrogen and derivatives)
nomegestrol acetate	Contraceptive Agents
nomegestrol acetate	Contraceptive Agents, Female
nomegestrol acetate	Contraceptives, Oral
nomegestrol acetate	Norpregnanes
nomegestrol acetate	Norsteroids
nomegestrol acetate	Oral Contraceptive (Progestins)
nomegestrol acetate	Polycyclic Compounds
nomegestrol acetate	Pregnadienes
nomegestrol acetate	Pregnanes
nomegestrol acetate	Progesterone Congeners
nomegestrol acetate	Progestin Contraceptives
nomegestrol acetate	Progestins
nomegestrol acetate	Steroids
methylscopolamine bromide	Alkaloids
methylscopolamine bromide	Anticholinergic Agents
methylscopolamine bromide	Autonomic Agents
methylscopolamine bromide	Aza Compounds
methylscopolamine bromide	Azabicyclo Compounds
methylscopolamine bromide	Bicyclo Compounds
methylscopolamine bromide	Bicyclo Compounds, Heterocyclic
methylscopolamine bromide	Bridged Compounds
methylscopolamine bromide	Heterocyclic Compounds
methylscopolamine bromide	Heterocyclic Compounds, 2-Ring
methylscopolamine bromide	Heterocyclic Compounds, Bridged-Ring
methylscopolamine bromide	Hydrocarbons
methylscopolamine bromide	Hydrocarbons, Cyclic
methylscopolamine bromide	Muscarinic Antagonists
methylscopolamine bromide	Parasympatholytics
methylscopolamine bromide	Peripheral Nervous System Agents
methylscopolamine bromide	Polycyclic Compounds
methylscopolamine bromide	Scopolamine Derivatives
methylscopolamine bromide	Tropanes
silver nitrate	Acids
silver nitrate	Acids, Noncarboxylic
silver nitrate	Anions
silver nitrate	Anti-Infective Agents
silver nitrate	Anti-Infective Agents, Local
silver nitrate	Antiseptics and Disinfectants
silver nitrate	Dermatologicals
silver nitrate	Electrolytes
silver nitrate	Ions
silver nitrate	Nitrates
silver nitrate	Nitric Acid
silver nitrate	Nitrogen Compounds
silver nitrate	Silver Compounds
